2023-02-17 17:19:40 startup archives install
2023-02-17 17:22:58 status unpacked libkrb5support0:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:58 startup packages configure
2023-02-17 17:22:58 configure libkrb5support0:amd64 1.19.2-2ubuntu0.1 <none>
2023-02-17 17:22:58 status unpacked libkrb5support0:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:58 status half-configured libkrb5support0:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:58 status installed libkrb5support0:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:58 startup archives unpack
2023-02-17 17:22:59 upgrade libkrb5-3:amd64 1.19.2-2 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libkrb5-3:amd64 1.19.2-2
2023-02-17 17:22:59 status unpacked libkrb5-3:amd64 1.19.2-2
2023-02-17 17:22:59 status half-installed libkrb5-3:amd64 1.19.2-2
2023-02-17 17:22:59 status unpacked libkrb5-3:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libkrb5-3:amd64 1.19.2-2ubuntu0.1 <none>
2023-02-17 17:22:59 status unpacked libkrb5-3:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libkrb5-3:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status installed libkrb5-3:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libgssapi-krb5-2:amd64 1.19.2-2 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libgssapi-krb5-2:amd64 1.19.2-2
2023-02-17 17:22:59 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2023-02-17 17:22:59 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2023-02-17 17:22:59 status unpacked libgssapi-krb5-2:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libgssapi-krb5-2:amd64 1.19.2-2ubuntu0.1 <none>
2023-02-17 17:22:59 status unpacked libgssapi-krb5-2:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libgssapi-krb5-2:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 status installed libgssapi-krb5-2:amd64 1.19.2-2ubuntu0.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libssl3:amd64 3.0.2-0ubuntu1 3.0.2-0ubuntu1.8
2023-02-17 17:22:59 status half-configured libssl3:amd64 3.0.2-0ubuntu1
2023-02-17 17:22:59 status unpacked libssl3:amd64 3.0.2-0ubuntu1
2023-02-17 17:22:59 status half-installed libssl3:amd64 3.0.2-0ubuntu1
2023-02-17 17:22:59 status unpacked libssl3:amd64 3.0.2-0ubuntu1.8
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libssl3:amd64 3.0.2-0ubuntu1.8 <none>
2023-02-17 17:22:59 status unpacked libssl3:amd64 3.0.2-0ubuntu1.8
2023-02-17 17:22:59 status half-configured libssl3:amd64 3.0.2-0ubuntu1.8
2023-02-17 17:22:59 status installed libssl3:amd64 3.0.2-0ubuntu1.8
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libpam-runtime:all 1.4.0-11ubuntu2 1.4.0-11ubuntu2.3
2023-02-17 17:22:59 status half-configured libpam-runtime:all 1.4.0-11ubuntu2
2023-02-17 17:22:59 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2023-02-17 17:22:59 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2023-02-17 17:22:59 status unpacked libpam-runtime:all 1.4.0-11ubuntu2.3
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libpam-runtime:all 1.4.0-11ubuntu2.3 <none>
2023-02-17 17:22:59 status unpacked libpam-runtime:all 1.4.0-11ubuntu2.3
2023-02-17 17:22:59 status half-configured libpam-runtime:all 1.4.0-11ubuntu2.3
2023-02-17 17:22:59 status installed libpam-runtime:all 1.4.0-11ubuntu2.3
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libpcre2-8-0:amd64 10.39-3build1 10.39-3ubuntu0.1
2023-02-17 17:22:59 status half-configured libpcre2-8-0:amd64 10.39-3build1
2023-02-17 17:22:59 status unpacked libpcre2-8-0:amd64 10.39-3build1
2023-02-17 17:22:59 status half-installed libpcre2-8-0:amd64 10.39-3build1
2023-02-17 17:22:59 status unpacked libpcre2-8-0:amd64 10.39-3ubuntu0.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libpcre2-8-0:amd64 10.39-3ubuntu0.1 <none>
2023-02-17 17:22:59 status unpacked libpcre2-8-0:amd64 10.39-3ubuntu0.1
2023-02-17 17:22:59 status half-configured libpcre2-8-0:amd64 10.39-3ubuntu0.1
2023-02-17 17:22:59 status installed libpcre2-8-0:amd64 10.39-3ubuntu0.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libpcre3:amd64 2:8.39-13build5 2:8.39-13ubuntu0.22.04.1
2023-02-17 17:22:59 status half-configured libpcre3:amd64 2:8.39-13build5
2023-02-17 17:22:59 status unpacked libpcre3:amd64 2:8.39-13build5
2023-02-17 17:22:59 status half-installed libpcre3:amd64 2:8.39-13build5
2023-02-17 17:22:59 status unpacked libpcre3:amd64 2:8.39-13ubuntu0.22.04.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libpcre3:amd64 2:8.39-13ubuntu0.22.04.1 <none>
2023-02-17 17:22:59 status unpacked libpcre3:amd64 2:8.39-13ubuntu0.22.04.1
2023-02-17 17:22:59 status half-configured libpcre3:amd64 2:8.39-13ubuntu0.22.04.1
2023-02-17 17:22:59 status installed libpcre3:amd64 2:8.39-13ubuntu0.22.04.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libtirpc-common:all 1.3.2-2build1 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libtirpc-common:all 1.3.2-2build1
2023-02-17 17:22:59 status unpacked libtirpc-common:all 1.3.2-2build1
2023-02-17 17:22:59 status half-installed libtirpc-common:all 1.3.2-2build1
2023-02-17 17:22:59 status unpacked libtirpc-common:all 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libtirpc-common:all 1.3.2-2ubuntu0.1 <none>
2023-02-17 17:22:59 status unpacked libtirpc-common:all 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libtirpc-common:all 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status installed libtirpc-common:all 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libtirpc3:amd64 1.3.2-2build1 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libtirpc3:amd64 1.3.2-2build1
2023-02-17 17:22:59 status unpacked libtirpc3:amd64 1.3.2-2build1
2023-02-17 17:22:59 status half-installed libtirpc3:amd64 1.3.2-2build1
2023-02-17 17:22:59 status unpacked libtirpc3:amd64 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libtirpc3:amd64 1.3.2-2ubuntu0.1 <none>
2023-02-17 17:22:59 status unpacked libtirpc3:amd64 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status half-configured libtirpc3:amd64 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 status installed libtirpc3:amd64 1.3.2-2ubuntu0.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade passwd:amd64 1:4.8.1-2ubuntu2 1:4.8.1-2ubuntu2.1
2023-02-17 17:22:59 status half-configured passwd:amd64 1:4.8.1-2ubuntu2
2023-02-17 17:22:59 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2023-02-17 17:22:59 status half-installed passwd:amd64 1:4.8.1-2ubuntu2
2023-02-17 17:22:59 status unpacked passwd:amd64 1:4.8.1-2ubuntu2.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure passwd:amd64 1:4.8.1-2ubuntu2.1 <none>
2023-02-17 17:22:59 status unpacked passwd:amd64 1:4.8.1-2ubuntu2.1
2023-02-17 17:22:59 status half-configured passwd:amd64 1:4.8.1-2ubuntu2.1
2023-02-17 17:22:59 status installed passwd:amd64 1:4.8.1-2ubuntu2.1
2023-02-17 17:22:59 startup archives unpack
2023-02-17 17:22:59 upgrade libss2:amd64 1.46.5-2ubuntu1 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status half-configured libss2:amd64 1.46.5-2ubuntu1
2023-02-17 17:22:59 status unpacked libss2:amd64 1.46.5-2ubuntu1
2023-02-17 17:22:59 status half-installed libss2:amd64 1.46.5-2ubuntu1
2023-02-17 17:22:59 status unpacked libss2:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 startup packages configure
2023-02-17 17:22:59 configure libss2:amd64 1.46.5-2ubuntu1.1 <none>
2023-02-17 17:22:59 status unpacked libss2:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status half-configured libss2:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status installed libss2:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 configure logsave:amd64 1.46.5-2ubuntu1.1 <none>
2023-02-17 17:22:59 status unpacked logsave:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status half-configured logsave:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status installed logsave:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 configure e2fsprogs:amd64 1.46.5-2ubuntu1.1 <none>
2023-02-17 17:22:59 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:22:59 status half-configured e2fsprogs:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:23:00 status installed e2fsprogs:amd64 1.46.5-2ubuntu1.1
2023-02-17 17:23:00 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-02-17 17:23:00 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-02-17 17:23:00 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-02-17 17:23:02 startup archives unpack
2023-02-17 17:23:02 install kbd:amd64 <none> 2.3.0-3ubuntu4.22.04
2023-02-17 17:23:02 status half-installed kbd:amd64 2.3.0-3ubuntu4.22.04
2023-02-17 17:23:02 status unpacked kbd:amd64 2.3.0-3ubuntu4.22.04
2023-02-17 17:23:02 install liblocale-gettext-perl:amd64 <none> 1.07-4build3
2023-02-17 17:23:02 status half-installed liblocale-gettext-perl:amd64 1.07-4build3
2023-02-17 17:23:02 status unpacked liblocale-gettext-perl:amd64 1.07-4build3
2023-02-17 17:23:02 install keyboard-configuration:all <none> 1.205ubuntu3
2023-02-17 17:23:02 status half-installed keyboard-configuration:all 1.205ubuntu3
2023-02-17 17:23:02 status unpacked keyboard-configuration:all 1.205ubuntu3
2023-02-17 17:23:02 install console-setup-linux:all <none> 1.205ubuntu3
2023-02-17 17:23:02 status half-installed console-setup-linux:all 1.205ubuntu3
2023-02-17 17:23:02 status unpacked console-setup-linux:all 1.205ubuntu3
2023-02-17 17:23:02 install xkb-data:all <none> 2.33-1
2023-02-17 17:23:02 status half-installed xkb-data:all 2.33-1
2023-02-17 17:23:02 status unpacked xkb-data:all 2.33-1
2023-02-17 17:23:03 install console-setup:all <none> 1.205ubuntu3
2023-02-17 17:23:03 status half-installed console-setup:all 1.205ubuntu3
2023-02-17 17:23:03 status unpacked console-setup:all 1.205ubuntu3
2023-02-17 17:23:03 install libpython3.10-minimal:amd64 <none> 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-installed libpython3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status unpacked libpython3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 install libexpat1:amd64 <none> 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-02-17 17:23:03 status half-installed libexpat1:amd64 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 status unpacked libexpat1:amd64 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 install python3.10-minimal:amd64 <none> 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-installed python3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status unpacked python3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 startup packages configure
2023-02-17 17:23:03 configure libpython3.10-minimal:amd64 3.10.6-1~22.04.2 <none>
2023-02-17 17:23:03 status unpacked libpython3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-configured libpython3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status installed libpython3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 configure libexpat1:amd64 2.4.7-1ubuntu0.2 <none>
2023-02-17 17:23:03 status unpacked libexpat1:amd64 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 status half-configured libexpat1:amd64 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 status installed libexpat1:amd64 2.4.7-1ubuntu0.2
2023-02-17 17:23:03 configure python3.10-minimal:amd64 3.10.6-1~22.04.2 <none>
2023-02-17 17:23:03 status unpacked python3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-configured python3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status installed python3.10-minimal:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 startup archives unpack
2023-02-17 17:23:03 install python3-minimal:amd64 <none> 3.10.6-1~22.04
2023-02-17 17:23:03 status half-installed python3-minimal:amd64 3.10.6-1~22.04
2023-02-17 17:23:03 status unpacked python3-minimal:amd64 3.10.6-1~22.04
2023-02-17 17:23:03 install media-types:all <none> 7.0.0
2023-02-17 17:23:03 status half-installed media-types:all 7.0.0
2023-02-17 17:23:03 status unpacked media-types:all 7.0.0
2023-02-17 17:23:03 install libmpdec3:amd64 <none> 2.5.1-2build2
2023-02-17 17:23:03 status half-installed libmpdec3:amd64 2.5.1-2build2
2023-02-17 17:23:03 status unpacked libmpdec3:amd64 2.5.1-2build2
2023-02-17 17:23:03 install readline-common:all <none> 8.1.2-1
2023-02-17 17:23:03 status half-installed readline-common:all 8.1.2-1
2023-02-17 17:23:03 status unpacked readline-common:all 8.1.2-1
2023-02-17 17:23:03 install libreadline8:amd64 <none> 8.1.2-1
2023-02-17 17:23:03 status half-installed libreadline8:amd64 8.1.2-1
2023-02-17 17:23:03 status unpacked libreadline8:amd64 8.1.2-1
2023-02-17 17:23:03 install libsqlite3-0:amd64 <none> 3.37.2-2ubuntu0.1
2023-02-17 17:23:03 status half-installed libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2023-02-17 17:23:03 status unpacked libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2023-02-17 17:23:03 install libpython3.10-stdlib:amd64 <none> 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-installed libpython3.10-stdlib:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 status unpacked libpython3.10-stdlib:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:03 install python3.10:amd64 <none> 3.10.6-1~22.04.2
2023-02-17 17:23:03 status half-installed python3.10:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:04 status unpacked python3.10:amd64 3.10.6-1~22.04.2
2023-02-17 17:23:04 install libpython3-stdlib:amd64 <none> 3.10.6-1~22.04
2023-02-17 17:23:04 status half-installed libpython3-stdlib:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 status unpacked libpython3-stdlib:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 startup packages configure
2023-02-17 17:23:04 configure python3-minimal:amd64 3.10.6-1~22.04 <none>
2023-02-17 17:23:04 status unpacked python3-minimal:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 status half-configured python3-minimal:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 status installed python3-minimal:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 startup archives unpack
2023-02-17 17:23:04 install python3:amd64 <none> 3.10.6-1~22.04
2023-02-17 17:23:04 status half-installed python3:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 status unpacked python3:amd64 3.10.6-1~22.04
2023-02-17 17:23:04 install libapparmor1:amd64 <none> 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 status half-installed libapparmor1:amd64 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 status unpacked libapparmor1:amd64 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 install libargon2-1:amd64 <none> 0~20171227-0.3
2023-02-17 17:23:04 status half-installed libargon2-1:amd64 0~20171227-0.3
2023-02-17 17:23:04 status unpacked libargon2-1:amd64 0~20171227-0.3
2023-02-17 17:23:04 install libdevmapper1.02.1:amd64 <none> 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 status half-installed libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 status unpacked libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 install libjson-c5:amd64 <none> 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 status half-installed libjson-c5:amd64 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 status unpacked libjson-c5:amd64 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 install libcryptsetup12:amd64 <none> 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 status half-installed libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 status unpacked libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 install libip4tc2:amd64 <none> 1.8.7-1ubuntu5
2023-02-17 17:23:04 status half-installed libip4tc2:amd64 1.8.7-1ubuntu5
2023-02-17 17:23:04 status unpacked libip4tc2:amd64 1.8.7-1ubuntu5
2023-02-17 17:23:04 install libkmod2:amd64 <none> 29-1ubuntu1
2023-02-17 17:23:04 status half-installed libkmod2:amd64 29-1ubuntu1
2023-02-17 17:23:04 status unpacked libkmod2:amd64 29-1ubuntu1
2023-02-17 17:23:04 install systemd:amd64 <none> 249.11-0ubuntu3.6
2023-02-17 17:23:04 status half-installed systemd:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 status unpacked systemd:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 startup packages configure
2023-02-17 17:23:04 configure libapparmor1:amd64 3.0.4-2ubuntu2.1 <none>
2023-02-17 17:23:04 status unpacked libapparmor1:amd64 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 status half-configured libapparmor1:amd64 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 status installed libapparmor1:amd64 3.0.4-2ubuntu2.1
2023-02-17 17:23:04 configure libargon2-1:amd64 0~20171227-0.3 <none>
2023-02-17 17:23:04 status unpacked libargon2-1:amd64 0~20171227-0.3
2023-02-17 17:23:04 status half-configured libargon2-1:amd64 0~20171227-0.3
2023-02-17 17:23:04 status installed libargon2-1:amd64 0~20171227-0.3
2023-02-17 17:23:04 configure libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4 <none>
2023-02-17 17:23:04 status unpacked libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 status half-configured libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 status installed libdevmapper1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:04 configure libjson-c5:amd64 0.15-3~ubuntu1.22.04.1 <none>
2023-02-17 17:23:04 status unpacked libjson-c5:amd64 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 status half-configured libjson-c5:amd64 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 status installed libjson-c5:amd64 0.15-3~ubuntu1.22.04.1
2023-02-17 17:23:04 configure libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1 <none>
2023-02-17 17:23:04 status unpacked libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 status half-configured libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 status installed libcryptsetup12:amd64 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:04 configure libip4tc2:amd64 1.8.7-1ubuntu5 <none>
2023-02-17 17:23:04 status unpacked libip4tc2:amd64 1.8.7-1ubuntu5
2023-02-17 17:23:04 status half-configured libip4tc2:amd64 1.8.7-1ubuntu5
2023-02-17 17:23:04 status installed libip4tc2:amd64 1.8.7-1ubuntu5
2023-02-17 17:23:04 configure libkmod2:amd64 29-1ubuntu1 <none>
2023-02-17 17:23:04 status unpacked libkmod2:amd64 29-1ubuntu1
2023-02-17 17:23:04 status half-configured libkmod2:amd64 29-1ubuntu1
2023-02-17 17:23:04 status installed libkmod2:amd64 29-1ubuntu1
2023-02-17 17:23:04 configure systemd:amd64 249.11-0ubuntu3.6 <none>
2023-02-17 17:23:04 status unpacked systemd:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 status half-configured systemd:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 status installed systemd:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 startup archives unpack
2023-02-17 17:23:04 install systemd-sysv:amd64 <none> 249.11-0ubuntu3.6
2023-02-17 17:23:04 status half-installed systemd-sysv:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 status unpacked systemd-sysv:amd64 249.11-0ubuntu3.6
2023-02-17 17:23:04 install libfuse3-3:amd64 <none> 3.10.5-1build1
2023-02-17 17:23:04 status half-installed libfuse3-3:amd64 3.10.5-1build1
2023-02-17 17:23:04 status unpacked libfuse3-3:amd64 3.10.5-1build1
2023-02-17 17:23:04 install fuse3:amd64 <none> 3.10.5-1build1
2023-02-17 17:23:04 status half-installed fuse3:amd64 3.10.5-1build1
2023-02-17 17:23:04 status unpacked fuse3:amd64 3.10.5-1build1
2023-02-17 17:23:04 install libntfs-3g89:amd64 <none> 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:04 status half-installed libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:04 status unpacked libntfs-3g89:amd64 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:05 startup packages configure
2023-02-17 17:23:05 configure libfuse3-3:amd64 3.10.5-1build1 <none>
2023-02-17 17:23:05 status unpacked libfuse3-3:amd64 3.10.5-1build1
2023-02-17 17:23:05 status half-configured libfuse3-3:amd64 3.10.5-1build1
2023-02-17 17:23:05 status installed libfuse3-3:amd64 3.10.5-1build1
2023-02-17 17:23:05 configure fuse3:amd64 3.10.5-1build1 <none>
2023-02-17 17:23:05 status unpacked fuse3:amd64 3.10.5-1build1
2023-02-17 17:23:05 status half-configured fuse3:amd64 3.10.5-1build1
2023-02-17 17:23:05 status installed fuse3:amd64 3.10.5-1build1
2023-02-17 17:23:05 startup archives unpack
2023-02-17 17:23:05 install ntfs-3g:amd64 <none> 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:05 status half-installed ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:05 status unpacked ntfs-3g:amd64 1:2021.8.22-3ubuntu1.2
2023-02-17 17:23:05 install libmpfr6:amd64 <none> 4.1.0-3build3
2023-02-17 17:23:05 status half-installed libmpfr6:amd64 4.1.0-3build3
2023-02-17 17:23:05 status unpacked libmpfr6:amd64 4.1.0-3build3
2023-02-17 17:23:05 install libsigsegv2:amd64 <none> 2.13-1ubuntu3
2023-02-17 17:23:05 status half-installed libsigsegv2:amd64 2.13-1ubuntu3
2023-02-17 17:23:05 status unpacked libsigsegv2:amd64 2.13-1ubuntu3
2023-02-17 17:23:05 startup packages configure
2023-02-17 17:23:05 configure libmpfr6:amd64 4.1.0-3build3 <none>
2023-02-17 17:23:05 status unpacked libmpfr6:amd64 4.1.0-3build3
2023-02-17 17:23:05 status half-configured libmpfr6:amd64 4.1.0-3build3
2023-02-17 17:23:05 status installed libmpfr6:amd64 4.1.0-3build3
2023-02-17 17:23:05 configure readline-common:all 8.1.2-1 <none>
2023-02-17 17:23:05 status unpacked readline-common:all 8.1.2-1
2023-02-17 17:23:05 status half-configured readline-common:all 8.1.2-1
2023-02-17 17:23:05 status installed readline-common:all 8.1.2-1
2023-02-17 17:23:05 configure libreadline8:amd64 8.1.2-1 <none>
2023-02-17 17:23:05 status unpacked libreadline8:amd64 8.1.2-1
2023-02-17 17:23:05 status half-configured libreadline8:amd64 8.1.2-1
2023-02-17 17:23:05 status installed libreadline8:amd64 8.1.2-1
2023-02-17 17:23:05 configure libsigsegv2:amd64 2.13-1ubuntu3 <none>
2023-02-17 17:23:05 status unpacked libsigsegv2:amd64 2.13-1ubuntu3
2023-02-17 17:23:05 status half-configured libsigsegv2:amd64 2.13-1ubuntu3
2023-02-17 17:23:05 status installed libsigsegv2:amd64 2.13-1ubuntu3
2023-02-17 17:23:05 startup archives unpack
2023-02-17 17:23:05 install gawk:amd64 <none> 1:5.1.0-1build3
2023-02-17 17:23:05 status half-installed gawk:amd64 1:5.1.0-1build3
2023-02-17 17:23:05 status unpacked gawk:amd64 1:5.1.0-1build3
2023-02-17 17:23:05 install libaio1:amd64 <none> 0.3.112-13build1
2023-02-17 17:23:05 status half-installed libaio1:amd64 0.3.112-13build1
2023-02-17 17:23:05 status unpacked libaio1:amd64 0.3.112-13build1
2023-02-17 17:23:05 install libdevmapper-event1.02.1:amd64 <none> 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status half-installed libdevmapper-event1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status unpacked libdevmapper-event1.02.1:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 install libmd0:amd64 <none> 1.0.4-1build1
2023-02-17 17:23:05 status half-installed libmd0:amd64 1.0.4-1build1
2023-02-17 17:23:05 status unpacked libmd0:amd64 1.0.4-1build1
2023-02-17 17:23:05 install libbsd0:amd64 <none> 0.11.5-1
2023-02-17 17:23:05 status half-installed libbsd0:amd64 0.11.5-1
2023-02-17 17:23:05 status unpacked libbsd0:amd64 0.11.5-1
2023-02-17 17:23:05 install libedit2:amd64 <none> 3.1-20210910-1build1
2023-02-17 17:23:05 status half-installed libedit2:amd64 3.1-20210910-1build1
2023-02-17 17:23:05 status unpacked libedit2:amd64 3.1-20210910-1build1
2023-02-17 17:23:05 install dmsetup:amd64 <none> 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status half-installed dmsetup:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status unpacked dmsetup:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 install liblvm2cmd2.03:amd64 <none> 2.03.11-2.1ubuntu4
2023-02-17 17:23:05 status half-installed liblvm2cmd2.03:amd64 2.03.11-2.1ubuntu4
2023-02-17 17:23:05 status unpacked liblvm2cmd2.03:amd64 2.03.11-2.1ubuntu4
2023-02-17 17:23:05 install dmeventd:amd64 <none> 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status half-installed dmeventd:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 status unpacked dmeventd:amd64 2:1.02.175-2.1ubuntu4
2023-02-17 17:23:05 install lvm2:amd64 <none> 2.03.11-2.1ubuntu4
2023-02-17 17:23:05 status half-installed lvm2:amd64 2.03.11-2.1ubuntu4
2023-02-17 17:23:05 status unpacked lvm2:amd64 2.03.11-2.1ubuntu4
